"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"C0805C104J5RAC7025","KEMET","399-C0805C104J5RAC7025CT-ND","","","Cut Tape (CT)","Active","1","0.20000","$0.20","7958","7 Weeks","CAP CER 0.1UF 50V X7R 0805","ROHS3 Compliant","Not Available","Not Available"
"12105C106KAT4A","AVX Corporation","478-12105C106KAT4ACT-ND","","","Cut Tape (CT)","Active","2","0.86000","$1.72","3994","16 Weeks","CAP CER 10UF 50V X7R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTST-C150TBKT","Lite-On Inc.","160-1643-1-ND","","","Cut Tape (CT)","Active","4","0.52000","$2.08","122201","12 Weeks","LED BLUE CLEAR 1206 SMD","ROHS3 Compliant","Lead free","Not Available"
"1935161","Phoenix Contact","277-1667-ND","","","Bulk","Active","1","0.43000","$0.43","50762","7 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"LDQ-M284RI","Lumex Opto/Components Inc.","67-1427-ND","","","Bulk","Active","1","4.66000","$4.66","854","12 Weeks","DISP 7SEG 0.28"" QUAD RED 12DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"2N7002","ON Semiconductor","2N7002NCT-ND","","","Cut Tape (CT)","Active","2","0.32000","$0.64","1138399","8 Weeks","MOSFET N-CH 60V 115MA SOT-23","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRCW080510M0FKEA","Vishay Dale","541-10.0MCCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","30465","17 Weeks","RES SMD 10M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","Not Available"
"CRCW08053M74FKEA","Vishay Dale","541-3.74MCCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","29768","17 Weeks","RES SMD 3.74M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","Not Available"
"RNCP0805FTD10K0","Stackpole Electronics Inc","RNCP0805FTD10K0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","351716","18 Weeks","RES 10K OHM 1% 1/4W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-074K12L","Yageo","311-4.12KCRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","133086","24 Weeks","RES SMD 4.12K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT86R6","Stackpole Electronics Inc","RMCF0805FT86R6CT-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","2889","20 Weeks","RES 86.6 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-6ENF1584V","Panasonic Electronic Components","P1.58BTCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","36119","11 Weeks","RES SMD 1.58M OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AED301V","Panasonic Electronic Components","P123833CT-ND","","","Cut Tape (CT)","Active","8","0.10000","$0.80","18795","13 Weeks","RES 300 OHM 0.5% 1/8W 0805","ROHS3 Compliant","Lead free","Not Available"
"SN74HC595DR","Texas Instruments","296-14857-1-ND","","","Cut Tape (CT)","Active","1","0.39000","$0.39","79166","8 Weeks","IC 8BIT SHIFT REG 3ST-OUT 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"TL062CDR","Texas Instruments","296-1281-1-ND","","","Cut Tape (CT)","Active","1","0.41000","$0.41","17190","6 Weeks","IC OPAMP JFET 2 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP1541T-I/TT","Microchip Technology","MCP1541T-I/TTCT-ND","","","Cut Tape (CT)","Active","1","0.77000","$0.77","5346","21 Weeks","IC VREF SERIES 1% SOT23-3","ROHS3 Compliant","Lead free","REACH Unaffected"